BIKERS EDGE,"232 North Main Street, Kaysville, UT  84037",www.bebikes.com,801-544-5300,info@bebikes.com,
SKYLINE CYCLE,"834 Washington Boulevard, Ogden, UT  84401",www.skylinecyclery.com,801-394-7700,info@skylinecyclery.com,
GO-RIDE,"2066 S 2100 E #C, Salt Lake City, UT  84108",www.go-ride.com,801-474-0081,krispy@go-ride.com,
FISHERS CYCLERY,"2175 South 900 East, Salt Lake City, UT  84106",www.fisherscyclery.com,801-466-3971,fishers2175@gmail.com,
SUMMIT CYCLERY,"4644 S Holladay Blvd, Holladay, UT  84117",www.summitcyclery.com,801-676-9136,info@summitcyclery.com,
ANDY JORDAN'S BICYCLE WAREHOUSE,"527 13th Street, Augusta, GA  30901",www.andyjordans.com,706-724-2453,djordan@andyjordans.com,
BIKE TECH,"3003 Vineville Avenue, Macon, GA  31204",www.biketechmacon.com,478-741-8356,ride@biketechmacon.com,
SUNSHINE CYCLES,"56 North Main Street, Watkinsville, GA  30677",www.sunshinecycles.com,706-769-1730,jimmy@sunshinecycles.com,
SUNSHINE BICYCLES,"1063 Baxter Street, Suite 600, Athens, GA  30606",www.sunshinecycles.com,706-548-6088,jimmy@sunshinecycles.com,
QUALITY BIKE,"1127 East Montgomery Cross Road, Suite 4, Savannah, GA  31406",www.qualitybikeshop.com,912-692-1005,qualitybike@yahoo.com,
THE BICYCLE SHOP- DIMOND,"1801 W Dimond Blvd, Anchorage, AK  99515",www.alaskabicycleshop.com,907-222-9953,bikeshopdimond@gmail.com,
PARAMOUNT CYCLES,"1320 Huffman Park Drive, Anchorage, AK  99515",www.paramountcyclesak.com,907-336-2453,paramountcycles@gci.net,
BEN'S BIKES SEQUIM,"1251 W Washington St, Sequim, WA  98382",www.bensbikessequim.com,360-683-2666,info@bensbikessequim.com,
JACKS BICYCLE CENTER,"1907 Iowa Street, Bellingham, WA  98226",www.jacksbicyclecenter.net,360-733-1955,bvannus@yahoo.com,
SKAGIT CYCLE CENTER,"1620 Commercial Avenue, Anacortes, WA  98221",www.skagitcyclecenter.com,360-588-8776,info@skagitcyclecenter.com,
HAWAII TRIATHLON CENTER,"315 Uluniu Street Suite 105, Kailua, HI  96734",www.hitricenter.com,808-333-1151,ben@hitricenter.com,
MCCULLY'S BICYCLE & FITNESS,"2124 South King Street, Honolulu, HI  96826",www.mccullybike.com,808-955-6329,staff@mccullybike.com,
LA VOGUE BICYCLE AND APPAREL,"623 Simpson Avenue, Hoquiam, WA  98550",,360-532-0887,lavoguebicycle@qwestoffice.net,
UNIVERSITY BICYCLE CENTER,"1220 E. Fletcher Avenue, Tampa, FL  33612",www.ubcbike.com,813-971-2277,lisa@ubcbike.com,
SOUTH MAIN CYCLES,"4 North Main Street, Belmont, NC  28012",www.southmaincycles.com,704-825-8585,info@southmaincycles.com,
BIKE LINE OF CHARLOTTE,"8528 University City Blvd Suite M, Charlotte, NC  28213",www.charlottebikes.net,704 549-8804,bikeline@bellsouth.net,
ALL STAR BIKE SHOP-CARY,"1241 Kildaire Farm Road, Cary, NC  27511",www.allstarbikeshop.com,919-469-1849,allstarbikeshopcary@gmail.com,
BICYCLE WORLD OF KATY,"24555 Katy Freeway, Katy, TX  77494",www.visitbicycleworld.com,281-665-1016,matt.matthews@visitbicycleworld.com,
ROLL MODELS,"6641 Park Avenue, Allen Park, MI  48101",www.rollmodelsbikeshop.com,313-382-1990,rollmodels@sbcglobal.net,
SOUTH SHORE CYCLERY,"4758 South Packard Avenue, Cudahy, WI  53110",www.southshorecyclery.com/product-list/giant-bicycles-accessories-milwaukee-wi-pg152,414-831-0211,giant@southshorecyclery.com,
BICYCLE WISE,"1155 W. Main Street, Whitewater, WI  53190",www.bicyclewise.com,262-473-4730,john.sotherland@bicyclewise.com,
PEAK MTB PRO SHOP INC,"4242 235th Street, Little Neck, NY  11363",www.peakmtnbike.com,718-225-5119,peakmountainbike@yahoo.com,
BRANDS CYCLE CENTER,"1966 Wantagh Avenue, Wantagh, NY  11793",www.brandscycle.com,516-781-6100,gssbrandscycle.com,
RIDE BROOKLYN,"50 North 7th Street, Brooklyn, NY  11249",www.ridebrooklynny.com,718-387-2453,info@ridebrooklynny.com,
BICYCLE ROOTS,"609 Nostrand Avenue, Brooklyn, NY  11216",www.bicycleroots.com,718-668-5224,info@bicycleroots.com,
REDBEARD BIKES,"69 Jay Street, Brooklyn, NY  11201",www.redbeardbikes.com,718-858-2453,redbeard@redbeardbikes.com,
SKAGIT CYCLE CENTER,"1704 South Burlington Boulevard, Burlington, WA  98233",www.skagitcyclecenter.com,360-757-7910,info@skagitcyclecenter.com,
SKAGIT CYCLE CENTER,"731 SE Pioneer Way, Oak Harbor, WA  98277",www.skagitcyclecenter.com,360-682-6546,gary@skagitcyclecenter.com,
LUCKY BRAKE,"470 West Virginia Street, Crystal Lake, IL  60014",www.luckybrakebikes.com,815-459-1833,karrie@luckybrakebikes.com,
TRAILHEAD CYCLING & FITNESS,"11350 Aquila Drive, Champlin, MN  55316", www.trailheadcycling.com,763-712-0312,info@trailheadcycling.com,
CYCLE WORKS,"720 North 27th Street, Lincoln, NE  68503",www.cycleworksusa.com,402-475-2453,info@cycleworksusa.com,
BIKE ZONE OF COVINGTON,"600 North Highway 190, Covington, LA  70433",www.bikezonela.com,985-892-0222,bikezone@bellsouth.net,
BICYCLE WORLD OF LOUISIANA,"701 Jefferson Highway, New Orleans, LA  70121",www.bicycleworldla.com,504-828-1862,adam@bicycleworldla.com,
CHAMPION CYCLING,"11447 San Jose Boulevard, Jacksonville, FL  32223",www.championcycling.net,904-262-5744,pjforeman@gmail.com,
CHAMPION CYCLING,"1025 Arlington Road North, Jacksonville, FL  32211",www.championcycling.net,904-724-4922,championcycling1@gmail.com,
CHAMPION CYCLING,"1303 3rd Street North, Jacksonville Beach, FL  32250",www.championcycling.net,904-241-0900,championbikes@yahoo.com,
