name,address,website,phone,email,hours_operation
name,address,website,phone,email,hours_operation
Nike Factory Store - Tuscaloosa,1800 McFarland Blvd East Ste 100 Tuscaloosa AL 35404,https://www.nike.com/us/en_us/retail/en/nike-factory-store-tuscaloosa,+1 (205) 758-3779,,           
Converse Factory Store - San Francisco Premium Outlets,3318 Livermore Outlets Dr Livermore CA 94551,https://www.nike.com/us/en_us/retail/en/converse-factory-store-san-francisco-premium-outlets,+1 (925) 373-0658,,           
Converse Factory Store - Folsom Premium Outlets,13000 Folsom Blvd. Suite 202 Folsom CA 95630,https://www.nike.com/us/en_us/retail/en/converse-factory-store-folsom-premium-outlets,+1 (916) 608-9555,,           
Nike Factory Store - Tulare,1553 Retherford St. Suite C080 Tulare CA 93274,https://www.nike.com/us/en_us/retail/en/nike-factory-store-tulare,+1 (559) 685-9711,,                 
Converse Factory Store - The Pike Outlets,The Pike Outlets 30 The Paseo Long Beach CA 90802,https://www.nike.com/us/en_us/retail/en/converse-factory-store-the-pike-outlets,+1 (562) 435-2312,,           
Nike Factory Store - San Jose,1600 Saratoga Ave Suite #213 San Jose CA 95129,https://www.nike.com/us/en_us/retail/en/nike-factory-store-san-jose,+1 (408) 374-4147,,                 
Nike Santa Monica,395 Santa Monica Place Santa Monica CA 90401,https://www.nike.com/us/en_us/retail/en/nike-santa-monica,+1 (310) 393-7384,,                 
Converse Factory Store Tulare - Tulare Outlet Center,1535 Retherford Street Tulare CA 93274,https://www.nike.com/us/en_us/retail/en/converse-factory-store-tulare-tulare-outlet-center,+1 (559) 687-1987,,           
Nike Factory Store - Phoenix,4250 W Anthem Way. Suite 375 Phoenix AZ 85086,https://www.nike.com/us/en_us/retail/en/nike-factory-store-phoenix,+1 (623) 465-0111,,     
Nike Scottsdale,15147 North Scottsdale Rd STE 180 Scottsdale AZ 85254,https://www.nike.com/us/en_us/retail/en/nike-scottsdale,+1 (480) 998-1136,,           
Nike Clearance  Store - Tempe,5000 S Arizona Mills Cir. Tempe AZ 85282,https://www.nike.com/us/en_us/retail/en/nike-clearance-store-tempe,+1 (480) 897-1312,,                       
Hurley Clearance Store - Arizona Mills,5000 S. Arizona Mills Circle Suite 347 Tempe AZ 85282,https://www.nike.com/us/en_us/retail/en/hurley-clearance-store-arizona-mills,+1 (480) 491-5814,,                       
Converse Factory Store - Phoenix Premium Outlets,4976 Premium Outlets Way Suite 710 Chandler AZ 85226,https://www.nike.com/us/en_us/retail/en/converse-factory-store-phoenix-premium-outlets,+1 (480) 639-1777,,           
Converse Factory Store - Tanger Outlet Westgate,6800 N. 95 Ave. Suite 575 Glendale AZ 85305,https://www.nike.com/us/en_us/retail/en/converse-factory-store-tanger-outlet-westgate,+1 (623) 772-5392,,           
Converse Factory Store - Tucson Premium Outlets,"Tucson Premium Outlets, 6401 Marana Center Boulevard Suite 803 Tucson AZ 85742",https://www.nike.com/us/en_us/retail/en/converse-factory-store-tucson-premium-outlets,+1 (520) 744-0167,,           
Nike Factory Store - Glendale,6800 N 95th Ave Suite 590 Glendale AZ 85305,https://www.nike.com/us/en_us/retail/en/nike-factory-store-glendale,+1 (623) 877-2027,,                 
Nike Factory Store - Marana,6401 W. Marana Center Blvd Ste 522 Tucson AZ 85742,https://www.nike.com/us/en_us/retail/en/nike-factory-store-marana,+1 (520) 744-6499,,                       
Nike Factory Store - Chandler,4976 Premium Outlets Way Suite 800 Chandler AZ 85226,https://www.nike.com/us/en_us/retail/en/nike-factory-store-chandler,+1 (480) 639-1780,,                       
Nike Factory Store - Little Rock,17821 Chenal Parkway Suite 103 Little Rock AR 72223,https://www.nike.com/us/en_us/retail/en/nike-factory-store-little-rock,+1 (501) 821-5276,,           
Nike Factory Store - Little Rock East,11201 Bass Pro Parkway #D-S101 Little Rock AR 72210,https://www.nike.com/us/en_us/retail/en/nike-factory-store-little-rock-east,+1 (501) 455-7417,,           
Converse Factory Store - Outlets of Little Rock,"Outlets of Little Rock, 11201 Bass Pro Prkwy Suite #E119 Little Rock AR 72210",https://www.nike.com/us/en_us/retail/en/converse-factory-store-outlets-of-little-rock,+1 (501) 455-7662,,           
Nike Factory Store - Foley,2601 S Mckenzie St. Suite 300 Foley AL 36535,https://www.nike.com/us/en_us/retail/en/nike-factory-store-foley,+1 (251) 970-2900,,                 
Nike Factory Store - Leeds,6200 Grand River Blvd EAST #542 Leeds AL 35094,https://www.nike.com/us/en_us/retail/en/nike-factory-store-leeds,+1 (205) 699-9840,,                       
Nike Factory Store - Citadel,100 Citadel Dr Suite 561 Commerce CA 90040,https://www.nike.com/us/en_us/retail/en/nike-factory-store-citadel,+1 (323) 720-1684,,           
Nike Factory Store - Calexico,888 W 2nd Street Suite J-100 Calexico CA 92231,https://www.nike.com/us/en_us/retail/en/nike-factory-store-calexico,+1 (760) 768-8420,,                 
Nike Running Pasadena,37 W. Colorado Boulevard Pasadena CA 91105,https://www.nike.com/us/en_us/retail/en/nike-running-pasadena,+1 (626) 793-7862,,           
Nike Running Stanford,6 Stanford Shopping Cente Suite 6-A Palo Alto CA 94304,https://www.nike.com/us/en_us/retail/en/nike-running-stanford,+1 (650) 326-6957,,                       
Nike Fashion Island,363 Newport Center Drive Newport Beach CA 92660,https://www.nike.com/us/en_us/retail/en/nike-fashion-island,+1 (949) 720-7020,,                 
Nike Factory Store - San Clemente,101 West Avenida Vista Hermosa Ste 130 San Clemente CA 92672,https://www.nike.com/us/en_us/retail/en/nike-factory-store-san-clemente,+1 (949) 498-2138,,                 
Nike Factory Store - Petaluma,2200 Petaluma Blvd. N #100 Petaluma CA 94952,https://www.nike.com/us/en_us/retail/en/nike-factory-store-petaluma,+1 (707) 769-9245,,                       
Nike Community Store - East LA,4585 Whittier Blvd East Los Angeles CA 90022,https://www.nike.com/us/en_us/retail/en/nike-community-store-east-la,+1 (323) 307-9866,,     
Nike Factory Store - Barstow,2796 Tanger Way Suite 218 Barstow CA 92311-941,https://www.nike.com/us/en_us/retail/en/nike-factory-store-barstow,+1 (760) 253-2810,,     
Nike Factory Store - Ontario,4557 Mills Cir. Ontario CA 91764,https://www.nike.com/us/en_us/retail/en/nike-factory-store-ontario,+1 (909) 980-2448,,           
Nike Factory Store - Cabazon,48650 Seminole Dr. Suite H234 Cabazon CA 92230,https://www.nike.com/us/en_us/retail/en/nike-factory-store-cabazon,+1 (951) 849-0466,,                 
Nike Factory Store - San Ysidro,4445 Camino De La Plaza Suite 350 San Ysidro CA 92173,https://www.nike.com/us/en_us/retail/en/nike-factory-store-san-ysidro,+1 (619) 428-8849,,           
Nike Factory Store - Carlsbad,5620 Paseo Del Norte Ste C119 Carlsbad CA 92008,https://www.nike.com/us/en_us/retail/en/nike-factory-store-carlsbad,+1 (760) 929-0146,,                 
Converse San Francisco,838 Market Street San Francisco CA 94102,https://www.nike.com/us/en_us/retail/en/converse-san-francisco,+1 (415) 433-1174,,           
Converse Factory Store - Citadel Outlets,100 Citadel Dr. Suite 579 Commerce CA 90040,https://www.nike.com/us/en_us/retail/en/converse-factory-store-citadel-outlets,+1 (323) 727-9142,,     
Converse Factory Store - Vacaville Premium Outlets,338 Nut Tree Road Vacaville CA 95687,https://www.nike.com/us/en_us/retail/en/converse-factory-store-vacaville-premium-outlets,+1 (707) 448-4151,,           
Converse Factory Store - The Outlets - Orange,20 City Blvd West Suite 108A Orange CA 92868,https://www.nike.com/us/en_us/retail/en/converse-factory-store-the-outlets-orange,+1 (714) 939-7823,,                 
Converse Factory Store - Camarillo Premium Outlets,620 W. Ventura Blvd #1304 Camarillo CA 93010,https://www.nike.com/us/en_us/retail/en/converse-factory-store-camarillo-premium-outlets,+1 (805) 484-1138,,           
Converse Factory Store - Carlsbad Premium Outlets,5620 Paseo Del North C114 Carlsbad CA 92008,https://www.nike.com/us/en_us/retail/en/converse-factory-store-carlsbad-premium-outlets,+1 (760) 929-0935,,           
Converse Factory Store - Desert Hills Premium Outlets,48650 Seminole Dr. Suite 206 Cabazon CA 92230,https://www.nike.com/us/en_us/retail/en/converse-factory-store-desert-hills-premium-outlets,+1 (951) 849-5297,,           
Converse Factory Store - Petaluma Village Premium Outlets,2200 Petaluma Blvd. Suite 600 Petaluma CA 94952,https://www.nike.com/us/en_us/retail/en/converse-factory-store-petaluma-village-premium-outlets,+1 (707) 765-1155,,           
Converse Factory Store - Great Mall,447 Great Mall Drive Suite 479 Milpitas CA 95035,https://www.nike.com/us/en_us/retail/en/converse-factory-store-great-mall,+1 (408) 935-8442,,           
Converse Factory Store - Ontario Mills,1 Ontario Mills Cir #114 Ontario CA 91764,https://www.nike.com/us/en_us/retail/en/converse-factory-store-ontario-mills,+1 (909) 481-1908,,           
Converse Factory Store - Gilroy Premium Outlets,8300 Arroyo Cir Suite B-150 Gilroy CA 95020,https://www.nike.com/us/en_us/retail/en/converse-factory-store-gilroy-premium-outlets,+1 (408) 846-2745,,           
Converse Factory Store - Las Americas Premium Outlets,4155 Camino De La Plaza Suite B444 San Diego CA 92173,https://www.nike.com/us/en_us/retail/en/converse-factory-store-las-americas-premium-outlets,+1 (619) 428-1163,,           
Converse Factory Store - Outlets at San Clemente,101 West Avenida Vista Hermosa Suite 134 San Clemente CA 92672,https://www.nike.com/us/en_us/retail/en/converse-factory-store-outlets-at-san-clemente,+1 (949) 498-2367,,     
Converse Factory Store - Pismo Beach Premium Outlets,333 Five Cities Drive Suite # A016 Pismo Beach CA 93449,https://www.nike.com/us/en_us/retail/en/converse-factory-store-pismo-beach-premium-outlets,+1 (805) 773-4258,,           
Nike Factory Store - Vacaville,262 Nut Tree Rd. Vacaville CA 95687,https://www.nike.com/us/en_us/retail/en/nike-factory-store-vacaville,+1 (707) 455-7014,,                       
Nike Factory Store - Camarillo,990 Camarillo Center Dr. Suite 1030 Camarillo CA 93010,https://www.nike.com/us/en_us/retail/en/nike-factory-store-camarillo,+1 (805) 384-4480,,                       
Nike Factory Store - Lake Elsinore,17600 Collier Ave. Suite B 118 Lake Elsinore CA 92530,https://www.nike.com/us/en_us/retail/en/nike-factory-store-lake-elsinore,+1 (951) 245-5665,,           
Nike Clearance Store - San Leandro,1275 Marina Blvd San Leandro CA 94577,https://www.nike.com/us/en_us/retail/en/nike-clearance-store-san-leandro,+1 (510) 483-3650,,                 
Nike Factory Store - Gilroy,8225 Arroyo Cir. Suite 21 Gilroy CA 95020,https://www.nike.com/us/en_us/retail/en/nike-factory-store-gilroy,+1 (408) 847-4300,,                       
Nike Factory Store - Livermore,3202 Livermore Outlets Drive Livermore CA 94551,https://www.nike.com/us/en_us/retail/en/nike-factory-store-livermore,+1 (925) 454-1272,,                       
Nike Factory Store - Folsom,13000 Folsom Blvd. Suite 401 Folsom CA 95630,https://www.nike.com/us/en_us/retail/en/nike-factory-store-folsom,+1 (916) 985-7313,,                       
Hurley Factory Store - Citadel Outlets,100 Citadel Drive Suite 433 Commerce CA 90040,https://www.nike.com/us/en_us/retail/en/hurley-factory-store-citadel-outlets,+1 (323) 728-1821,,                 
Hurley Factory Store - Las Americas Premium Outlets,4155 Camino de la Plaza Suite 443 San Ysidro CA 92173,https://www.nike.com/us/en_us/retail/en/hurley-factory-store-las-americas-premium-outlets,+1 (619) 428-4002,,           
Hurley | Nike SB,638 Spectrum Center Dr Irvine CA 92618,https://www.nike.com/us/en_us/retail/en/hurley-nike-sb,+1 (949) 753-1065,,                 
