Flanders Bicycle LLC,"1951 Santa Barbara Avenue, Unit D None San Luis Obispo 93401 United States",,+18054392900,info@flandersbicycle.com,
Go for it Sports Inc.,"6917 El Camino Real, Ste E None Atascadero 93422 United States",,+18054662660,info@goforitsports.com,
Team Factory Cycles,8200 Stockdale Hwy Suite B-4 None Bakersfield 93311 United States,,+16616797642,sales@teamfactorycycles.com,
Metal Mtn Cycling,1974 E. Main St. None Ventura 93001 United States,,+18056413968,info@metalmtncycling.com,
Doug Chandler Performance,517 Abbott Street None Salinas 93901 United States,www.dougchandler.com/index.htm,+18314223270,shop@dougchandlerperformance.com,
805 Bicycles,3208 E. LOS ANGELES AVENUE STE. 32 None Simi Valley 93065 United States,,+18057913007,805bicycles@gmail.com,
*Herb Bauer Sporting Goods(NBS),6264 N Blackstone Ave. None Fresno 93710 United States,www.herbbauersportingfresnoca.com/cycling-gear-accessories,+15594358600,skiherbbauer@gmail.com,
Serious Cycling in Agoura Hills,29041 Thousand Oaks Blvd. None Agoura Hills 91301 United States,,+18185978330,info@seriouscycling.com,
The Bike Shop at Woodward,9433 Ft Washington Rd #102 None Fresno 93730 United States,,+15592370215,thebikeshopfresno@gmail.com,
CBS Cycling,23123 Lyons Ave None Newhall 91321 United States,,+16612599600,pchia06@gmail.com,
Serious Cycling in Northridge (ST),"19600 Plummer Avenue, Suite 100 None Northridge 91324 United States",,+18185978330,info@seriouscycling.com,
*IA*Bike Station Aptos,36 Rancho Del Mar None Aptos 95003 United States,http://bikestationaptos.com/,+18316884169,info@bikestationaptos.com,
The Bike Shop Santa Monica,2400 Main Street None Santa Monica 90405 United States,,+13105818014,sales@bikeshopsantamonica.com,
NOHO Cycles,5136 Vineland Avenue None North Hollywood 91601 United States,,+18185156162,craigscagnetti@gmail.com,
Bike Attack Electric,2904 Main St. None Santa Monica 90405 United States,,+14247448148,info@bikeattack.com,
Bike Improve,10929 Santa Monica Blvd. None Los Angeles 90025 United States,,+13104772453,nir@bike-improve.com,
Bike Attack Playa Vista,12775 W. Millennium None Playa Vista 90094 United States,,+13108625001,info@bikeattack.com,
Montrose Bike Shop,2501 Honolulu Ave None Montrose 91020 United States,,+18182493993,montrosebike@hotmail.com,
GODSPEED CYCLERY,533 . WESTERN AVE. STE. B None LOS ANGELES 90020 United States,,+12139085005,GODSPEEDCYCLERY@GMAIL.COM,
Sprocket Cycles,1018 S. Pacific Coast Hwy None Redondo Beach 90277 United States,,+13105401927,paul@sprocketcycles.com,
Centric Sport,49 W. Sierra Madre Blvd None Sierra Madre 91024 United States,,+16263552453,admin@centricsport.com,
Sports Basement Campbell-U106,1875 S. Bascom Avenue #240 None Campbell 95008 United States,,,,
Empire Bikes- Monrovia (ST),625 S. Myrtle Avenue None Monrovia 91016 United States,,,,
Any Mountain - Westgate #854,1600 Saratoga Avenue None San Jose 95129 United States,,+14088711001,VRRDirectShip994@vailresorts.com,
Long Beach Cyclery,3750 Long Beach Blvd. None Long Beach 90807 United States,,+15624279900,Longbeachcyclery@gmail.com,
Kings Bicycle Store,3960 Studebaker Rd.  Ste 111 None Long Beach 90808 United States,,+15624219500,kingsbikestore@yahoo.com,
