Davis Park Golf Course,"1074 E Nichols Rd  Davis, Fruit Heights UT 84037-2608", ,801 544-0401,bstone@co.davis.ut.us,
Oakridge Golf Club,"1492 W Shepard Ln  Davis, Farmington UT 84025-2812", ,801-295-5531,rick@oakridgecc.com,
Valley View Golf Course,"2501 E Gentile St  Davis, Layton UT 84040-7502", ,801-546-1630,dvolk@co.davis.ut.us,
Sun Hills Golf Course,"3185 North Hills Dr  Davis, Layton UT 84040-8532", ,801-771-4814,mikeb@sunhillsgolf.com,
Bountiful Ridge Golf Course,"2430 Bountiful Blvd  Davis, Bountiful UT 84010-2402", ,801-298-6040,kmccomb@bountifulutah.gov,
Lakeside Golf Course,"1201 N 1100 W  Davis, W Bountiful UT 84087-1832", ,801 295-1019,pholden@wbcity.org,
Dicks Sporting Goods,"1201 N Hill Field Rd  Maricopa, Layton UT 84041-5137", ,8189151685, ,
Swan Lakes Golf Course,"850 N 2200 W  Davis, Layton UT 84041-7255", ,8015461045,chad@swanlakesgolf.com,
Hubbard Gc At Hill Afb,"7005 Golf Course Dr  Weber, Hill Afb UT 84056-5123", ,801-777-1108,sedwardspga@gmail.com,
Eaglewood Golf Course,"1110 E Eaglewood Dr  Davis, N Salt Lake UT 84054-3390", ,801-299-0088,brentm@nslcity.org,
Mt Ogden Golf Course,"1787 Constitution Way  Weber, Ogden UT 84403-0561", ,801-629-0699,toddbrenkman@ogdencity.com,
Ogden Golf & Country Club,"4197 Washington Blvd  Weber, Ogden UT 84403-1820", ,801-621-2063,proshop@ogdencountryclub.com,
Riverside Golf Club So Ogden,"5460 S Weber Dr  Weber, Ogden UT 84405-9740", ,801-399-4636,mroubinet@hotmail.com,
El Monte Golf Club,"1300 Valley Dr  Weber, Ogden UT 84401-0808", ,801-629-0699,toddbrenkman@ogdencity.com,
Mountain Dell Golf Course,"8949 E 1350 S  X 134 Off I-80  Salt Lake, Salt Lake City UT 84109-1784", ,801-582-3812,jeremy.green@slcgov.com,
Edwin Watts,"5360 FREEWAY PARK DR  UTAH, RIVERDALE UT 84405-4013", ,801-825-4009,kcallister@uintagolf.com,
The Jeremy Golf And Country,"8770 N Jeremy Rd  Summit, Park City UT 84098-4829", ,801-649 2700,JHANLEY@THEJEREMY.COM,
Rose Park Golf Course,"1386 N Redwood Rd  Salt Lake, Salt Lake Cty UT 84116-1441", ,801-596-5030,derek.schmehl@slcgov.com,
Eagle Lake Golf Course,"2885 W 5200 S  Weber, Roy UT 84067-9356", ,801-825-3467,eric@eaglelake-golf.com,
Bonneville Golf Club,"954 S Connor St  Salt Lake, Salt Lake Cty UT 84108-1420", ,801-583-9513,Lynn.landgren@slcgov.com,
Wolf Creek Golf Course,"3718 N Wolf Creek Dr  Weber, Eden UT 84310-9655",www.wolfcreekutah.com,801-745-3365,bruce@wolfcreekresort.com,
Glen Eagle Golf Club,"3176 W 1700 S  Davis, Syracuse UT 84075-9704", ,801-773-4653,mikeg@golfgleneagle.com,
