Beemun's Variety,"35277 Kenai Spur Highway, Alaska, Soldotna, 99669-7623",,907-262-1234,contact@beemuns.com,Mon: 9:00 AM - 6:00 PM;Tue: 9:00 AM - 6:00 PM;Wed: 9:00 AM - 6:00 PM;Thu: 9:00 AM - 6:00 PM;Fri: 9:00 AM - 6:00 PM;Sat: 9:00 AM - 6:00 PM;
Homer Saw and Cycle,"1532 Ocean Drive, Alaska, Homer, 99603-7915",,907-235-8406,homersaw@xyz.net,Mon: 9:00 AM - 5:30 PM;Tue: 9:00 AM - 5:30 PM;Wed: 9:00 AM - 5:30 PM;Thu: 9:00 AM - 5:30 PM;Fri: 9:00 AM - 5:30 PM;Sat: 11:00 AM - 5:00 PM;
Trek Bicycle Store of Anchorage,"530 East Benson Boulevard, Unit 9C, Alaska, Anchorage, 99503-4155",,907 743-6000,bfleming@trekstorealaska.com,Sun: 11:00 AM - 5:00 PM;Mon: 10:00 AM - 7:00 PM;Tue: 10:00 AM - 7:00 PM;Wed: 10:00 AM - 7:00 PM;Thu: 10:00 AM - 7:00 PM;Fri: 10:00 AM - 7:00 PM;Sat: 10:00 AM - 6:00 PM;
Backcountry Bike & Ski,"132 West Arctic Avenue, Alaska, Palmer, 99645",,907-746-5018,backcountrybikeandski@gmail.com,Tue: 10:00 AM - 6:00 PM;Wed: 10:00 AM - 6:00 PM;Thu: 10:00 AM - 6:00 PM;Fri: 10:00 AM - 6:00 PM;Sat: 10:00 AM - 6:00 PM;
Goldstream Sports,"711 Sheep Creek Road, Alaska, Fairbanks, 99709-6129",,907-455-6520,joel@goldstreamsports.com,Mon: 12:00 PM - 7:00 PM;Tue: 12:00 PM - 7:00 PM;Wed: 12:00 PM - 7:00 PM;Thu: 12:00 PM - 7:00 PM;Fri: 12:00 PM - 7:00 PM;Sat: 10:00 AM - 5:00 PM;
Whiskey Ridge Trading,"201 Industry Road, Box 900, Alaska, Cordova, 99574",,424-3354,whiskeyridge@ctcak.net,
Sockeye Cycle-Skagway,"381 5th Ave, Alaska, Skagway, 99840",,766-2896,sockeye@cyclealaska.com,
Sockeye Cycle-Haines,"24 Portage Drive, Alaska, Haines, 99827",,766-2896,sockeye@cyclealaska.com,
The Bike Line,"724 South Rangeline Road, Carmel City Center, Indiana, Carmel, 46032-3558",,317-815-1122,sales@thebikeline.com,Mon: 10:00 AM - 6:00 PM;Tue: 10:00 AM - 6:00 PM;Wed: 10:00 AM - 6:00 PM;Thu: 10:00 AM - 6:00 PM;Fri: 10:00 AM - 6:00 PM;Sat: 9:00 AM - 5:00 PM;
Trek Bicycle Store of Highland Park,"1925 Skokie Valley Road, Illinois, Highland Park, 60035-2361",,847-433-8735,info@trekhp.com,Sun: 10:00 AM - 4:00 PM;Mon: 10:00 AM - 5:00 PM;Tue: 10:00 AM - 7:00 PM;Wed: 10:00 AM - 5:00 PM;Thu: 10:00 AM - 7:00 PM;Fri: 10:00 AM - 5:00 PM;Sat: 10:00 AM - 5:00 PM;
Deerfield Cyclery Inc,"705 Waukegan Road, Illinois, Deerfield, 60015-4326",,847-945-0700,info@deerfieldcyclery.com,
7 Mile Cycles,"was Village CycleSport-EGV, 45 S Arlington Heights Road, Illinois, Elk Grove Village, 60007",,847-439-3340,Vince@7milecycles.com,Sun: 11:00 AM - 4:00 PM;Mon: 11:00 AM - 7:00 PM;Tue: 11:00 AM - 7:00 PM;Wed: 11:00 AM - 7:00 PM;Thu: 11:00 AM - 7:00 PM;Fri: 11:00 AM - 6:00 PM;Sat: 11:00 AM - 4:00 PM;
Village CycleSport - Arlington Heights,"1326 North Rand Road, Illinois, Arlington Heights, 60004-4307",,847-398-1650,arlington@villagecyclesport.com,Sun: 11:00 AM - 4:00 PM;Mon: 10:00 AM - 8:00 PM;Tue: 10:00 AM - 8:00 PM;Wed: 10:00 AM - 8:00 PM;Thu: 10:00 AM - 8:00 PM;Fri: 10:00 AM - 8:00 PM;Sat: 10:00 AM - 5:00 PM;
WEST MICHIGAN BIKE & FITNESS,"215 Central Avenue, Michigan, Holland, 49423",,616-393-0046,evertjr@westmichiganbike.com,Mon: 10:00 AM - 8:00 PM;Tue: 10:00 AM - 6:00 PM;Wed: 10:00 AM - 8:00 PM;Thu: 10:00 AM - 6:00 PM;Fri: 10:00 AM - 8:00 PM;Sat: 9:00 AM - 5:00 PM;
Endure It Sports,"504 West Fifth Avenue, Illinois, Naperville, 60563",,306-3771,endureiterik@gmail.com,
Kiddles Sports,"258 Market Square, Illinois, Lake Forest, 60045-1816",,847-234-0025,sales@kiddlessports.com,Mon: 8:30 AM - 5:30 PM;Tue: 8:30 AM - 5:30 PM;Wed: 8:30 AM - 5:30 PM;Thu: 8:30 AM - 5:30 PM;Fri: 8:30 AM - 5:30 PM;Sat: 8:30 AM - 5:30 PM;
Bicycle Garage Indy - North,"4340 East  82nd Street, Indiana, Indianapolis, 46250",,317-842-4140,tsimeone@bgindy.com,Sun: 12:00 PM - 5:00 PM;Mon: 10:00 AM - 8:00 PM;Tue: 10:00 AM - 8:00 PM;Wed: 10:00 AM - 8:00 PM;Thu: 10:00 AM - 8:00 PM;Fri: 10:00 AM - 8:00 PM;Sat: 10:00 AM - 8:00 PM;
Trek Bicycle Store Naperville,"3416 S Route 59, Illinois, Naperville, 60564",,630-778-8877,naperville@trekchicago.com,Sun: 12:00 PM - 4:00 PM;Mon: 11:00 AM - 7:00 PM;Tue: 11:00 AM - 7:00 PM;Thu: 11:00 AM - 7:00 PM;Fri: 11:00 AM - 7:00 PM;Sat: 10:00 AM - 5:00 PM;
Bicycles Inc - Arlington,"5739 SW Green Oaks Boulevard, Texas, Arlington, 76017-1202",,817-572-2453,scott@bicyclesinc.com,Sun: 1:00 PM - 5:00 PM;Mon: 10:00 AM - 7:00 PM;Tue: 10:00 AM - 7:00 PM;Wed: 10:00 AM - 7:00 PM;Thu: 10:00 AM - 7:00 PM;Fri: 10:00 AM - 7:00 PM;Sat: 10:00 AM - 6:00 PM;
B & B Bicycles,"223 E. F.M. 1382, STE. 127, Texas, Cedar Hill, 75104-0000",,972-293-3100,info@bbbicycles.com,Sun: 1:00 PM - 5:00 PM;Mon: 10:00 AM - 7:00 PM;Tue: 10:00 AM - 7:00 PM;Wed: 10:00 AM - 7:00 PM;Thu: 10:00 AM - 7:00 PM;Fri: 10:00 AM - 7:00 PM;Sat: 10:00 AM - 6:00 PM;
Bicycles Inc.-Hurst,"143 East Harwood Road, Texas, Hurst, 76054-3005",,817-268-6572,scott@bicyclesinc.com,Sun: 1:00 PM - 5:00 PM;Mon: 10:00 AM - 7:00 PM;Tue: 10:00 AM - 7:00 PM;Wed: 10:00 AM - 7:00 PM;Thu: 10:00 AM - 7:00 PM;Fri: 10:00 AM - 7:00 PM;Sat: 10:00 AM - 6:00 PM;
Bicycles Inc - Southlake,"2105 W. Southlake Blvd., Suite 225, Texas, Southlake, 76092",,817-488-2000,scott@bicyclesinc.com,Sun: 1:00 PM - 5:00 PM;Mon: 10:00 AM - 7:00 PM;Tue: 10:00 AM - 7:00 PM;Wed: 10:00 AM - 7:00 PM;Thu: 10:00 AM - 7:00 PM;Fri: 10:00 AM - 7:00 PM;Sat: 10:00 AM - 6:00 PM;
Bicycles Plus-Snider,"7015 Snider Plaza #110, Texas, Dallas, 75205",,214-363-2025,dperry@bicyclesplustx.com,Sun: 12:00 PM - 5:00 PM;Mon: 10:00 AM - 6:00 PM;Tue: 10:00 AM - 6:00 PM;Wed: 10:00 AM - 6:00 PM;Thu: 10:00 AM - 6:00 PM;Fri: 10:00 AM - 6:00 PM;Sat: 10:00 AM - 6:00 PM;
Richardson Bike Mart-Dallas,"9040 Garland Road, Texas, Dallas, 75218-3919",,214-321-0705,mmanson@bikemart.com,Sun: 12:00 PM - 5:00 PM;Mon: 10:00 AM - 8:00 PM;Tue: 10:00 AM - 8:00 PM;Wed: 10:00 AM - 8:00 PM;Thu: 10:00 AM - 8:00 PM;Fri: 10:00 AM - 8:00 PM;Sat: 9:00 AM - 6:00 PM;
Bicycles Plus-Macarthur,"757 South MacArthur Boulevard Suite 108, Texas, Coppell, 75019-4229",,972-745-2815,michael@bicyclesplustx.com,Sun: 12:00 PM - 5:00 PM;Mon: 11:00 AM - 7:00 PM;Tue: 11:00 AM - 7:00 PM;Wed: 11:00 AM - 7:00 PM;Thu: 11:00 AM - 7:00 PM;Fri: 10:00 AM - 6:00 PM;Sat: 10:00 AM - 6:00 PM;
Bicycles Plus  -Long Prairie,"1901 Long Prairie Rd Ste 104, Texas, Flower Mound, 75022-4220",,214-513-2604,frank@bicyclesplustx.com,Sun: 12:00 PM - 5:00 PM;Mon: 10:00 AM - 7:00 PM;Tue: 10:00 AM - 7:00 PM;Wed: 10:00 AM - 7:00 PM;Thu: 10:00 AM - 7:00 PM;Fri: 10:00 AM - 7:00 PM;Sat: 10:00 AM - 6:00 PM;
Richardson Bike Mart-Richardson,"1451 W Campbell Road, Texas, Richardson, 75080-5714",,972-231-3993,sales@bikemart.com,Sun: 12:00 PM - 5:00 PM;Mon: 10:00 AM - 8:00 PM;Tue: 10:00 AM - 8:00 PM;Wed: 10:00 AM - 8:00 PM;Thu: 10:00 AM - 8:00 PM;Fri: 10:00 AM - 8:00 PM;Sat: 9:00 AM - 6:00 PM;
Kickstand Bike Shop,"6366 Phelan Boulevard, Colonnade Shopping Center, Texas, Beaumont, 77706-5606",,409-860-5532,tom@kickstandbikeshop.com,Mon: 11:00 AM - 6:00 PM;Tue: 11:00 AM - 6:00 PM;Wed: 11:00 AM - 6:00 PM;Thu: 11:00 AM - 6:00 PM;Fri: 11:00 AM - 6:00 PM;Sat: 10:00 AM - 3:00 PM;
